id   Code   Name
344   lbl   Sash
345   vbl   Light Belt
346   mbl   Belt
347   tbl   Heavy Belt
348   hbl   Plated Belt
349   bhm   Bone Helm
350   bsh   Bone Shield
351   spk   Spiked Shield
352   xap   War Hat
353   xkp   Sallet
354   xlm   Casque
355   xhl   Basinet
356   xhm   Winged Helm
357   xrn   Grand Crown
358   xsk   Death Mask
359   xui   Ghost Armor
360   xea   Serpentskin Armor
361   xla   Demonhide Armor
362   xtu   Trellised Armor
363   xng   Linked Mail
364   xcl   Tigulated Mail
365   xhn   Mesh Armor
366   xrs   Cuirass
367   xpl   Russet Armor
368   xlt   Templar Coat
369   xld   Sharktooth Armor
370   xth   Embossed Plate
371   xul   Chaos Armor
372   xar   Ornate Plate
373   xtp   Mage Plate
374   xuc   Defender
375   xml   Round Shield
376   xrg   Scutum
377   xit   Dragon Shield
378   xow   Pavise
379   xts   Ancient Shield
380   xlg   Demonhide Gloves
381   xvg   Sharkskin Gloves
382   xmg   Heavy Bracers
383   xtg   Battle Gauntlets
384   xhg   War Gauntlets
385   xlb   Demonhide Boots
386   xvb   Sharkskin Boots
387   xmb   Mesh Boots
388   xtb   Battle Boots
389   xhb   War Boots
390   zlb   Demonhide Sash
391   zvb   Sharkskin Belt
392   zmb   Mesh Belt
393   ztb   Battle Belt
394   zhb   War Belt
395   xh9   Grim Helm
396   xsh   Grim Shield
397   xpk   Barbed Shield
398   dr1   Wolf Head
399   dr2   Hawk Helm
400   dr3   Antlers
401   dr4   Falcon Mask
402   dr5   Spirit Mask
403   ba1   Jawbone Cap
404   ba2   Fanged Helm
405   ba3   Horned Helm
406   ba4   Assault Helmet
407   ba5   Avenger Guard
408   pa1   Targe
409   pa2   Rondache
410   pa3   Heraldic Shield
411   pa4   Aerin Shield
412   pa5   Crown Shield
413   ne1   Preserved Head
414   ne2   Zombie Head
415   ne3   Unraveller Head
416   ne4   Gargoyle Head
417   ne5   Demon Head
418   ci0   Circlet
419   ci1   Coronet
420   ci2   Tiara
421   ci3   Diadem
422   uap   Shako
423   ukp   Hydra Skull
424   ulm   Armet
425   uhl   Giant Conch
426   uhm   Spired Helm
427   urn   Corona
428   usk   Demonhead
429   uui   Dusk Shroud
430   uea   Wyrm Hide
431   ula   Scarab Husk
432   utu   Wire Fleece
433   ung   Diamond Mail
434   ucl   Loricated Mail
435   uhn   Bone Weave
436   urs   Great Hauberk
437   upl   Balrog Skin
438   ult   Hellforge Plate
439   uld   Kraken Shell
440   uth   Lacquered Plate
441   uul   Shadow Plate
442   uar   Sacred Armor
443   utp   Archon Plate
444   uuc   Heater
445   uml   Luna
446   urg   Hyperion
447   uit   Monarch
448   uow   Aegis
449   uts   Ward
450   ulg   Bramble Mitts
451   uvg   Vampirebone Gloves
452   umg   Vambraces
453   utg   Crusader Gauntlets
454   uhg   Ogre Gauntlets
455   ulb   Wyrmhide Boots
456   uvb   Scarabshell Boots
457   umb   Boneweave Boots
458   utb   Mirrored Boots
459   uhb   Myrmidon Greaves
460   ulc   Spiderweb Sash
461   uvc   Vampirefang Belt
462   umc   Mithril Coil
463   utc   Troll Belt
464   uhc   Colossus Girdle
465   uh9   Bone Visage
466   ush   Troll Nest
467   upk   Blade Barrier
468   dr6   Alpha Helm
469   dr7   Griffon Headdress
470   dr8   Hunter's Guise
471   dr9   Sacred Feathers
472   dra   Totemic Mask
473   ba6   Jawbone Visor
474   ba7   Lion Helm
475   ba8   Rage Mask
476   ba9   Savage Helmet
477   baa   Slayer Guard
478   pa6   Akaran Targe
479   pa7   Akaran Rondache
480   pa8   Protector Shield
481   pa9   Gilded Shield
482   paa   Royal Shield
483   ne6   Mummified Trophy
484   ne7   Fetish Trophy
485   ne8   Sexton Trophy
486   ne9   Cantor Trophy
487   nea   Hierophant Trophy
488   drb   Blood Spirit
489   drc   Sun Spirit
490   drd   Earth Spirit
491   dre   Sky Spirit
492   drf   Dream Spirit
493   bab   Carnage Helm
494   bac   Fury Visor
495   bad   Destroyer Helm
496   bae   Conqueror Crown
497   baf   Guardian Crown
498   pab   Sacred Targe
499   pac   Sacred Rondache
500   pad   Kurast Shield
501   pae   Zakarum Shield
502   paf   Vortex Shield
503   neb   Minion Skull
504   nec   Hellspawn Skull
505   ned   Overseer Skull
506   nee   Succubus Skull
507   nef   Bloodlord Skull
508   elx   Elixir
513   vps   Stamina Potion
514   yps   Antidote Potion
515   rvs   Rejuvenation Potion
516   rvl   Full Rejuvenation Potion
517   wms   Thawing Potion
518   tbk   Tome Of Town Portal
519   ibk   Tome Of Identify
520   amu   Amulet
521   vip   Viper Amulet
522   rin   Ring
523   gld   Gold
524   bks   Scroll Of Inifuss
525   bkd   Key To The Cairn Stones
526   aqv   Arrows
527   tch   Torch
528   cqv   Bolts
529   tsc   Scroll Of Town Portal
530   isc   Scroll Of Identify
531   hrt   Heart
532   brz   Brain
533   jaw   Jawbone
534   eyz   Eye
535   hrn   Horn
536   tal   Tail
537   flg   Flag
538   fng   Fang
539   qll   Quill
540   sol   Soul
541   scz   Scalp
542   spe   Spleen
543   key   Key
544   luv   The Black Tower Key
545   xyz   Potion of Life
546   j34   A Jade Figurine
547   g34   The Golden Bird
548   bbb   Lam Esen's Tome
549   box   Horadric Cube
550   tr1   Horadric Scroll
551   mss   Mephisto's Soulstone
552   ass   Book Of Skill
553   qey   Khalim's Eye
554   qhr   Khalim's Heart
555   qbr   Khalim's Brain
556   ear   Ear
557   gcv   Chipped Amethyst
558   gfv   Flawed Amethyst
559   gsv   Amethyst
560   gzv   Flawless Amethyst
561   gpv   Perfect Amethyst
562   gcy   Chipped Topaz
563   gfy   Flawed Topaz
564   gsy   Topaz
565   gly   Flawless Topaz
566   gpy   Perfect Topaz
567   gcb   Chipped Sapphire
568   gfb   Flawed Sapphire
569   gsb   Sapphire
570   glb   Flawless Sapphire
571   gpb   Perfect Sapphire
572   gcg   Chipped Emerald
573   gfg   Flawed Emerald
574   gsg   Emerald
575   glg   Flawless Emerald
576   gpg   Perfect Emerald
577   gcr   Chipped Ruby
578   gfr   Flawed Ruby
579   gsr   Ruby
580   glr   Flawless Ruby
581   gpr   Perfect Ruby
582   gcw   Chipped Diamond
583   gfw   Flawed Diamond
584   gsw   Diamond
585   glw   Flawless Diamond
586   gpw   Perfect Diamond
587   hp1   Minor Healing Potion
588   hp2   Light Healing Potion
589   hp3   Healing Potion
590   hp4   Greater Healing Potion
591   hp5   Super Healing Potion
592   mp1   Minor Mana Potion
593   mp2   Light Mana Potion
594   mp3   Mana Potion
595   mp4   Greater Mana Potion
596   mp5   Super Mana Potion
597   skc   Chipped Skull
598   skf   Flawed Skull
599   sku   Skull
600   skl   Flawless Skull
601   skz   Perfect Skull
602   hrb   Herb
603   cm1   Small Charm
604   cm2   Large Charm
605   cm3   Grand Charm
610   r01   El Rune
611   r02   Eld Rune
612   r03   Tir Rune
613   r04   Nef Rune
614   r05   Eth Rune
615   r06   Ith Rune
616   r07   Tal Rune
617   r08   Ral Rune
618   r09   Ort Rune
619   r10   Thul Rune
620   r11   Amn Rune
621   r12   Sol Rune
622   r13   Shael Rune
623   r14   Dol Rune
624   r15   Hel Rune
625   r16   Io Rune
626   r17   Lum Rune
627   r18   Ko Rune
628   r19   Fal Rune
629   r20   Lem Rune
630   r21   Pul Rune
631   r22   Um Rune
632   r23   Mal Rune
633   r24   Ist Rune
634   r25   Gul Rune
635   r26   Vex Rune
636   r27   Ohm Rune
637   r28   Lo Rune
638   r29   Sur Rune
639   r30   Ber Rune
640   r31   Jah Rune
641   r32   Cham Rune
642   r33   Zod Rune
643   jew   Jewel
644   ice   Malah's Potion
645   0sc   Scroll Of Knowledge
646   tr2   Scroll Of Resistance
647      Key Of Terror
648      Key Of Hate
649      Key Of Destruction
650      Diablo's Horn
651      Baal's Eye
652      Mephisto's Brain
653      Token of Absolution
654      Twisted Essence Of Suffering
655      Charged Essence Of Hatred
656      Burning Essence Of Terror
657      Festering Essence Of Destruction
658      Standard Of Heroes
